States,Recovery Zone Economic Development Bond Allocation,Recovery Zone Facility Bond Allocation,2009 Qualified School Construction Bond Allocation ,2010 Qualified School Construction Bond Allocation ,Qualified Energy Conservation Bond Allocation,2009 Qualified Zone Academy Bond Allocation,2010 Qualified Zone Academy Bond Allocation,Tribal Economic Development Bond Allocation ,First Time Homebuyer Credit for Houses Purchased in  2009 - Number of Filers ,First Time Homebuyer Credit for Houses Purchased in 2009 - Sum of Credits Claimed ,Cash Assistance to States in Lieu of Low-Income Housing Tax Credit - Awards,Cash Assistance to States in Lieu of Low-Income Housing Tax Credit - Outlays,Cash Assistance for Specified Energy Property in Lieu of Tax Credit -  Number of Awards ,Cash Assistance for Specified Energy Property in Lieu of Tax Credit -  Amount Awarded,New Markets Tax Credit -  Number of Organizations,New Markets Tax Credit - Awards, Community Development Financial Institutions -  Number of Organizations ,Community Development Financial Institutions - Awards,Economic Payment Beneficiaries  ,Economic Payment  Amount ,Build America Bond Issuances ,Build America Bond Total Amount 
ALABAMA,"$24,46,76,000","$36,70,14,000","$16,90,15,000","$18,01,46,000","$4,83,64,000","$2,66,21,000","$2,46,49,000","$4,73,41,211","38,070","$27,04,52,892","$3,64,56,058","$1,12,32,454",0,$0,0,$0,0,$0,"10,44,558","$26,11,39,603",11,"$33,51,84,998"
ALASKA,"$9,00,00,000","$13,50,00,000","$2,97,84,000","$2,81,63,000","$71,20,000","$21,02,000","$21,13,000",$0,"5,578","$4,11,42,030","$1,43,46,267","$1,32,66,187",1,"$4,643",0,$0,0,$0,"84,775","$2,11,93,853",4,"$23,81,25,000"
ARIZONA,"$9,00,00,000","$13,50,00,000","$22,37,78,000","$22,31,13,000","$6,74,36,000","$3,08,59,000","$3,19,35,000","$11,78,87,229","63,570","$46,98,96,097","$3,75,89,533","$1,47,38,040",160,"$4,77,52,530",0,$0,2,"$16,59,735","10,63,818","$26,59,54,603",37,"$1,92,79,89,990"
ARKANSAS,"$9,00,00,000","$13,50,00,000","$11,34,43,000","$12,41,97,000","$2,96,23,000","$1,72,33,000","$1,63,61,000",$0,"25,812","$17,86,90,915","$9,28,69,859","$4,41,76,143",0,$0,1,"$5,50,00,000",0,$0,"6,52,625","$16,31,56,353",2,"$3,47,20,001"
CALIFORNIA,"$80,62,25,000","$1,20,93,38,000","$1,35,54,91,000","$1,26,66,26,000","$38,13,29,000","$15,52,75,000","$16,32,60,000","$55,94,40,177","2,64,417","$1,97,54,81,778","$47,80,81,514","$15,14,16,620",1098,"$25,73,60,459",6,"$24,50,00,000",7,"$1,26,00,000","54,47,666","$1,36,19,16,603",119,"$27,97,68,39,844"
COLORADO,"$9,90,18,000","$14,85,27,000","$11,11,69,000","$12,49,48,000","$5,12,44,000","$1,99,30,000","$1,84,68,000","$7,00,52,395","48,114","$35,73,68,322","$1,78,23,862","$71,55,216",143,"$11,61,27,720",2,"$10,50,00,000",0,$0,"7,03,833","$17,59,58,353",47,"$2,85,77,79,785"
CONNECTICUT,"$9,00,00,000","$13,50,00,000","$10,50,92,000","$9,84,31,000","$3,63,23,000","$94,22,000","$1,05,33,000",$0,"21,938","$16,11,94,675","$6,68,40,837","$3,38,74,054",393,"$1,43,59,084",1,"$8,50,00,000",0,$0,"6,27,509","$15,68,77,353",12,"$1,16,41,45,020"
DELAWARE,"$9,00,00,000","$13,50,00,000","$2,97,84,000","$2,97,97,000","$90,58,000","$30,82,000","$30,04,000",$0,"6,668","$4,87,58,427","$2,05,50,433","$1,39,78,316",21,"$15,29,357",0,$0,0,$0,"1,71,083","$4,27,70,853",2,"$19,81,69,998"
DISTRICT OF COLUMBIA,"$9,00,00,000","$13,50,00,000","$3,39,36,000","$3,29,47,000","$61,40,000","$32,22,000","$32,52,000",$0,"4,071","$2,96,94,294","$2,09,44,850","$50,56,977",1,"$10,240",1,"$8,00,00,000",0,$0,"90,609","$2,26,52,353",4,"$1,10,62,90,039"
FLORIDA,"$53,84,85,000","$80,77,27,000","$47,94,59,000","$48,33,90,000","$19,01,46,000","$7,56,23,000","$8,11,05,000","$3,73,86,929","1,54,374","$1,12,39,20,719","$58,04,16,761","$9,45,69,411",100,"$7,27,27,722",2,"$12,00,00,000",0,$0,"38,80,672","$97,01,68,103",59,"$4,84,93,40,332"
